2025-12-03 19:18:04.869 | REQUEST | 1 | RECEBIDA
2025-12-03 19:18:04.870 | GRANT | 1 | ENVIADA
2025-12-03 19:18:05.370 | REQUEST | 2 | RECEBIDA
2025-12-03 19:18:05.870 | RELEASE | 1 | RECEBIDA
2025-12-03 19:18:05.870 | GRANT | 2 | ENVIADA
2025-12-03 19:18:06.370 | REQUEST | 1 | RECEBIDA
2025-12-03 19:18:06.871 | RELEASE | 2 | RECEBIDA
2025-12-03 19:18:06.871 | GRANT | 1 | ENVIADA
2025-12-03 19:18:07.371 | REQUEST | 2 | RECEBIDA
2025-12-03 19:18:07.871 | RELEASE | 1 | RECEBIDA
2025-12-03 19:18:07.872 | GRANT | 2 | ENVIADA
2025-12-03 19:18:08.372 | REQUEST | 1 | RECEBIDA
2025-12-03 19:18:08.872 | RELEASE | 2 | RECEBIDA
2025-12-03 19:18:08.872 | GRANT | 1 | ENVIADA
2025-12-03 19:18:09.372 | REQUEST | 2 | RECEBIDA
2025-12-03 19:18:09.873 | RELEASE | 1 | RECEBIDA
2025-12-03 19:18:09.873 | GRANT | 2 | ENVIADA
2025-12-03 19:18:10.874 | RELEASE | 2 | RECEBIDA
